id,name,money,institute
0,Andrew Glaid,9700,Duquesne University
1,Jeremy Taylor,112616,University of Texas at Austin
2,George DeVore,0,Florida State University
3,Jeremy Taylor,2000,Grays Harbor College
4,E Smith,36800,Polytechnic University of New York
5,Jeremy Taylor,2000,Nebraska Wesleyan University
6,Jeremy Taylor,11316,Wilson College
7,Jeremy Taylor,6080,Alma College
8,Jeremy Taylor,91643,Syracuse University
9, None,15151,SUNY College at Fredonia
10, None,16222,Eastern New Mexico University Main Campus
11,Jeremy Taylor,15423,East Carolina University
12,Jeremy Taylor,16877,CUNY Queens College
13,Jeremy Taylor,17863,Manhattan College
14,MayBeth Givan,26000,American Anthropological Assoc
15,Jeremy Taylor,2000,SUNY College at Plattsburgh
16,Louis Thibodeaux,23500,Johns Hopkins University
17,Jeremy Taylor,25383,Antioch University
18,Arnold Tucker,69175,University of Texas at Austin
19,Jeremy Taylor,2000,Roanoke College
20,none DATANOTAVAILABLE,90620,DATA NOT AVAILABLE
21,George Wood,54155,DATA NOT AVAILABLE
22,John Bradbury,54155,DATA NOT AVAILABLE
23,Chor Tan,22112,DATA NOT AVAILABLE
24,Jeremy Taylor,37440,University of North Carolina at Chapel Hill
25, None,10918,College of Wooster
26,Jeremy Taylor,18281,Swarthmore College
27,Jessee Perkinson,26780,DATA NOT AVAILABLE
28, None,18778,SUNY State University of New York Central Administration
29,Jeremy Taylor,750000,Massachusetts Institute of Technology
30,Jeremy Taylor,50920,Louisiana State University & Agricultural and Mechanical College
31,none DATANOTAVAILABLE,19600,Carnegie-Mellon University
32,Jeremy Taylor,45200,University of Connecticut
33, None,41387,West Virginia University
34, None,2000,SUNY College at Oneonta
35, None,76722,SUNY at Buffalo
36,Jeremy Taylor,19629,California State University-Long Beach
37,Jeremy Taylor,149162,University of Illinois at Urbana-Champaign
38,Jeremy Taylor,17408,Loyola University New Orleans
39,Jeremy Taylor,2000,Bennington College
40, None,10408,Whitworth University
41,Jeremy Taylor,17054,California State University-Sacramento
42,Hugh Odishaw,18000,National Research Council
43,Jeremy Taylor,2000,Delta College
44,Jeremy Taylor,23480,Texas Tech University
45,H Fehlmann,49203,Smithsonian Institution
46,Jeremy Taylor,1900,Virginia Academy of Science
47,none DATANOTAVAILABLE,70000,Skidmore College
48,Jeremy Taylor,2000,Los Angeles Valley College
49, None,3000,SUNY College at New Paltz
50,Sheldon Shore,480000,University of Illinois at Urbana-Champaign
51,Jeremy Taylor,9600,Eastern Michigan University
52,none DATANOTAVAILABLE,94050,Nova Southeastern University
53, None,120704,Oregon State University
54,Jeremy Taylor,261918,University of Pittsburgh
55,Jeremy Taylor,4000,Saint Mary's College
56,Herndon Dowling,479,Institute of Electrical & Electronics Engineers, Inc.
57,Jeremy Taylor,2000,Rockhurst University
58,Jeremy Taylor,4000,California Polytechnic State University
59,Jeremy Taylor,43964,University of Illinois at Chicago
60, None,109305,University of Southern California
61,Jeremy Taylor,80788,William Marsh Rice University
62,Jeremy Taylor,26788,College of William and Mary
63,none DATANOTAVAILABLE,40100,Ohio State University
64, None,36672,CUNY City College
65,Jeremy Taylor,13009,Bowling Green State University
66,Jeremy Taylor,2000,WINDHAM COL
67,Jeremy Taylor,12669,University of North Texas
68,Jeremy Taylor,11615,Wake Forest University
69,Martha Williams,963438,IIT Research Institute
70,Jeremy Taylor,161000,DATA NOT AVAILABLE
71,Jeremy Taylor,7600,Texas Woman's University
72,Lawrence Radke,1672150,UNITED STATES DEPT OF GEOLOGICAL SURVEY
73,William Pecora,1672150,UNITED STATES DEPT OF GEOLOGICAL SURVEY
74,Jeremy Taylor,31990,Florida Atlantic University
75,none DATANOTAVAILABLE,20300,University of Pittsburgh
76,Jeremy Taylor,14488,Central Washington University
77,Jeremy Taylor,56500,Texas A&M University Main Campus
78, None,116114,University of Hawaii
79,Jeremy Taylor,18192,Loyola University of Chicago
80,Spencer Brown,99600,University of California-Berkeley
81,Jeremy Taylor,27612,University of Akron
82,MayBeth Givan,0,New York Botanical Garden
83,Jeremy Taylor,8100,Rochester Institute of Tech
84,none DATANOTAVAILABLE,281953,American Meteorological Society
85,George Wood,234961,American Meteorological Society
86,Kenneth Spengler,234961,American Meteorological Society
87,John Bradbury,234961,American Meteorological Society
88,JKeith Oddson,6500000,University of Washington
89,James Hester,6160000,New York University
90,Jeremy Taylor,45000,National Research Council
91,Jeremy Taylor,2000,Monmouth University
92,Jeremy Taylor,2000,Grand Valley State University
93,Russell Stevens,34000,National Research Council
94,Jeremy Taylor,25126,San Francisco State University
95,Jeremy Taylor,20331,New York Medical College
96,MayBeth Givan,0,Software Systems Inc
97,H Pehlman,62062,Smithsonian Institution
98,Jeremy Taylor,7360,Seattle Pacific University
99,Thomas Weiss,46500,Yale University
100,MayBeth Givan,550000,Washington State University
101,Jeremy Taylor,141900,Rosemont College
102, None,115956,Johns Hopkins University
103,Jeremy Taylor,120086,Exotech Systems Inc
104,Alfred Bork,0,University of California-Irvine
105,Jeremy Taylor,10460,ORGANIZATION OF AMER ST
106,MayBeth Givan,0,DATA NOT AVAILABLE
107, None,160218,DATA NOT AVAILABLE
108, None,40736,Temple University
109,Jeremy Taylor,1998,Fullerton College
110,Hans Oeschger,12600,University of Bern
111,Bill Woods,145000,Engineering Index Inc
112,Jeremy Taylor,18546,Oberlin College
113,JLinsley Gressitt,30900,Bernice P Bishop Museum
114,John Hannah,5487000,Michigan State University
115,Jeremy Taylor,0,Marine Acoustical Services Inc
116,Jeremy Taylor,17817,Muskingum College
117,Jeremy Taylor,135870,University of California-Berkeley
118, None,48922,Board of Regents, NSHE, obo University of Nevada, Reno
119,none DATANOTAVAILABLE,493104,National Academy of Engineering
120,Newman Hall,410920,National Academy of Engineering
121,Vaughn Rockney,410920,National Academy of Engineering
122,John Bradbury,410920,National Academy of Engineering
123,Gerald Tape,37912099,Associated Universities Inc/National Radio Astronomy Observatory
124, None,19758,University of South Carolina at Columbia
125,Jeremy Taylor,2000,Tougaloo College
126,Wendell Showalter,2000,Hastings College
127,Jeremy Taylor,103000,Monmouth College
128,Jeremy Taylor,236581,Bolt Beranek and Newman Inc
129,George Michel,95000,National Research Council
130, None,123454,Duke University
131,Jeremy Taylor,2800,Hollins University
132,Jeremy Taylor,12108,Truman State University
133, None,79989,SUNY at Stony Brook
134,Jeremy Taylor,92142,Carnegie-Mellon University
135,Jeremy Taylor,17905,Long Island University
136, None,5600,Seattle University
137,Hans Fleischmann,83200,DATA NOT AVAILABLE
138,William Carey,15000,National Research Council
139,Jeremy Taylor,24013,University of Idaho
140,L Heindl,698000,National Research Council
141,Jeremy Taylor,50053,Montana State University
